vr_v,vi_muv
0.103,217.0
0.202,208.0
0.300,199.7
0.505,187.6
0.805,177.0
1.008,170.9
2.010,154.8
3.009,146.3
4.008,140.8
5.003,136.0
6.004,133.4
7.003,131.0
7.998,128.6
