vr_v,vi_muv
0.108,971.9
0.207,938.8
0.304,907.3
0.502,851.9
0.805,787.3
1.004,757.3
2.009,654.2
3.009,595.3
4.008,555.5
5.003,528.0
6.008,505.3
7.004,481.7
8.004,466.8
