lambda,I1,I2
550,925,980
560,975,1030
568,636,677
569,535,574
570,514,533
571,513,515
572,479,499
575,427,434
580,325,322
579,365,362
578,395,364
581,322,304
582,319,328
585,476,460
590,650,635
595,800,742
600,886,860
610,895,856
620,837,833
