lambda,I
587.1,120
587.4,198
587.7,200
588.0,277
588.3,652
588.6,917
588.7,1088
588.8,1285
588.9,1410
589.0,1550
589.1,1668
589.2,1697
589.3,1723
589.4,1850
589.5,1840
589.6,1795
589.7,1746
590.0,1455
590.3,1185
590.6,1015
590.9,878
591.2,733
591.5,600
591.8,481
592.1,362
592.4,237
592.7,155
593.0,105
