nm    	Abs   
800.00 	0.001 
799.50 	0.001 
799.00 	0.000 
798.50 	0.001 
798.00 	0.002 
797.50 	0.001 
797.00 	0.001 
796.50 	0.002 
796.00 	0.001 
795.50 	0.001 
795.00 	0.002 
794.50 	0.001 
794.00 	0.001 
793.50 	0.002 
793.00 	0.001 
792.50 	0.001 
792.00 	0.002 
791.50 	0.000 
791.00 	0.001 
790.50 	0.002 
790.00 	0.000 
789.50 	0.001 
789.00 	0.002 
788.50 	0.001 
788.00 	0.001 
787.50 	0.002 
787.00 	0.001 
786.50 	0.001 
786.00 	0.002 
785.50 	0.001 
785.00 	0.001 
784.50 	0.002 
784.00 	0.001 
783.50 	0.001 
783.00 	0.002 
782.50 	0.001 
782.00 	0.001 
781.50 	0.001 
781.00 	0.001 
780.50 	0.001 
780.00 	0.002 
779.50 	0.000 
779.00 	0.001 
778.50 	0.001 
778.00 	0.001 
777.50 	0.001 
777.00 	0.002 
776.50 	0.000 
776.00 	0.001 
775.50 	0.001 
775.00 	0.001 
774.50 	0.001 
774.00 	0.002 
773.50 	0.001 
773.00 	0.001 
772.50 	0.002 
772.00 	0.001 
771.50 	0.001 
771.00 	0.002 
770.50 	0.000 
770.00 	0.001 
769.50 	0.002 
769.00 	0.001 
768.50 	0.001 
768.00 	0.002 
767.50 	0.001 
767.00 	0.001 
766.50 	0.002 
766.00 	0.001 
765.50 	0.001 
765.00 	0.002 
764.50 	0.001 
764.00 	0.001 
763.50 	0.001 
763.00 	0.000 
762.50 	0.001 
762.00 	0.002 
761.50 	0.001 
761.00 	0.001 
760.50 	0.002 
760.00 	0.001 
759.50 	0.001 
759.00 	0.002 
758.50 	0.001 
758.00 	0.001 
757.50 	0.002 
757.00 	0.001 
756.50 	0.001 
756.00 	0.002 
755.50 	0.001 
755.00 	0.001 
754.50 	0.002 
754.00 	0.001 
753.50 	0.001 
753.00 	0.002 
752.50 	0.001 
752.00 	0.001 
751.50 	0.002 
751.00 	0.000 
750.50 	0.001 
750.00 	0.002 
749.50 	0.000 
749.00 	0.001 
748.50 	0.002 
748.00 	0.001 
747.50 	0.001 
747.00 	0.001 
746.50 	0.001 
746.00 	0.001 
745.50 	0.001 
745.00 	0.000 
744.50 	0.001 
744.00 	0.001 
743.50 	0.001 
743.00 	0.001 
742.50 	0.001 
742.00 	0.000 
741.50 	0.001 
741.00 	0.001 
740.50 	0.000 
740.00 	0.001 
739.50 	0.001 
739.00 	0.000 
738.50 	0.001 
738.00 	0.002 
737.50 	0.000 
737.00 	0.001 
736.50 	0.002 
736.00 	0.000 
735.50 	0.001 
735.00 	0.002 
734.50 	0.000 
734.00 	0.001 
733.50 	0.002 
733.00 	0.001 
732.50 	0.001 
732.00 	0.002 
731.50 	0.000 
731.00 	0.001 
730.50 	0.001 
730.00 	0.001 
729.50 	0.001 
729.00 	0.002 
728.50 	0.000 
728.00 	0.001 
727.50 	0.001 
727.00 	0.000 
726.50 	0.001 
726.00 	0.002 
725.50 	0.000 
725.00 	0.001 
724.50 	0.002 
724.00 	0.000 
723.50 	0.001 
723.00 	0.002 
722.50 	0.000 
722.00 	0.001 
721.50 	0.002 
721.00 	0.000 
720.50 	0.001 
720.00 	0.002 
719.50 	0.000 
719.00 	0.001 
718.50 	0.002 
718.00 	0.000 
717.50 	0.001 
717.00 	0.002 
716.50 	0.000 
716.00 	0.001 
715.50 	0.002 
715.00 	0.000 
714.50 	0.001 
714.00 	0.001 
713.50 	0.000 
713.00 	0.001 
712.50 	0.001 
712.00 	0.000 
711.50 	0.001 
711.00 	0.001 
710.50 	0.000 
710.00 	0.001 
709.50 	0.002 
709.00 	0.000 
708.50 	0.001 
708.00 	0.002 
707.50 	0.000 
707.00 	0.001 
706.50 	0.002 
706.00 	0.000 
705.50 	0.001 
705.00 	0.002 
704.50 	0.000 
704.00 	0.001 
703.50 	0.002 
703.00 	0.000 
702.50 	0.001 
702.00 	0.001 
701.50 	0.000 
701.00 	0.001 
700.50 	0.002 
700.00 	0.000 
699.50 	0.001 
699.00 	0.001 
698.50 	0.000 
698.00 	0.001 
697.50 	0.002 
697.00 	0.000 
696.50 	0.001 
696.00 	0.001 
695.50 	0.000 
695.00 	0.001 
694.50 	0.002 
694.00 	0.000 
693.50 	0.001 
693.00 	0.002 
692.50 	0.000 
692.00 	0.001 
691.50 	0.002 
691.00 	0.000 
690.50 	0.001 
690.00 	0.002 
689.50 	0.000 
689.00 	0.001 
688.50 	0.002 
688.00 	0.000 
687.50 	0.001 
687.00 	0.002 
686.50 	0.000 
686.00 	0.001 
685.50 	0.002 
685.00 	0.000 
684.50 	0.001 
684.00 	0.002 
683.50 	0.000 
683.00 	0.001 
682.50 	0.002 
682.00 	-0.001 
681.50 	0.001 
681.00 	0.002 
680.50 	-0.001 
680.00 	0.001 
679.50 	0.003 
679.00 	-0.001 
678.50 	0.001 
678.00 	0.003 
677.50 	-0.001 
677.00 	0.001 
676.50 	0.003 
676.00 	-0.001 
675.50 	0.001 
675.00 	0.003 
674.50 	-0.001 
674.00 	0.001 
673.50 	0.002 
673.00 	0.000 
672.50 	0.001 
672.00 	0.002 
671.50 	0.000 
671.00 	0.001 
670.50 	0.001 
670.00 	0.001 
669.50 	0.001 
669.00 	0.000 
668.50 	0.002 
668.00 	0.001 
667.50 	-0.001 
667.00 	0.002 
666.50 	0.001 
666.00 	-0.001 
665.50 	0.003 
665.00 	0.001 
664.50 	-0.002 
664.00 	0.004 
663.50 	0.001 
663.00 	-0.001 
662.50 	0.003 
662.00 	0.001 
661.50 	-0.001 
661.00 	0.003 
660.50 	0.001 
660.00 	0.000 
659.50 	0.002 
659.00 	0.001 
658.50 	0.001 
658.00 	0.001 
657.50 	0.001 
657.00 	0.001 
656.50 	0.001 
656.00 	0.001 
655.50 	0.001 
655.00 	0.001 
654.50 	0.001 
654.00 	0.001 
653.50 	0.001 
